REC-TYPE,VENDOR SKU NO,HOST SKU NO,UPC,ON HAND QTY,ON HAND DATE,BACKORDER QTY,BACKORDER DATE,EXPECTED QTY,EXPECTED DATE
IR,ALG-ALL-640_38,,693016611270,111,,,,,
IR,ALG-ALL-640_39,,693016611287,89,,,,,
IR,ALG-ALL-640_40,,693016611294,38,,,,,
IR,ALG-ALL-640_41,,693016611300,18,,,,,
IR,ALG-ALL-640_42,,693016611317,0,,,,,
IR,ALG-ALL-640_43,,693016611324,0,,,,,
IR,ALG-ALL-741_34,,693016536184,0,,,,,
IR,ALG-ALL-741_35,,693016536191,0,,,,,
IR,ALG-ALL-741_36,,693016536207,0,,,,,
IR,ALG-ALL-741_37,,693016536214,0,,,,,
IR,ALG-ALL-741_38,,693016536221,0,,,,,
IR,ALG-ALL-741_39,,693016536238,0,,,,,
IR,ALG-ALL-741_40,,693016536245,0,,,,,
IR,ALG-ALL-741_41,,693016536252,0,,,,,
IR,ALG-ALL-741_42,,693016536269,0,,,,,
IR,ALG-ALL-741_43,,693016536276,0,,,,,
IR,ALG-ALR-471_35,,693016619566,0,,,,,
IR,ALG-ALR-471_36,,693016619573,0,,,,,
IR,ALG-ALR-471_37,,693016619580,0,,,,,
IR,ALG-ALR-471_38,,693016619597,0,,,,,
IR,ALG-ALR-471_39,,693016619603,0,,,,,
IR,ALG-ALR-471_40,,693016619610,0,,,,,
IR,ALG-ALR-471_41,,693016619627,0,,,,,
IR,ALG-ALR-471_42,,693016619634,0,,,,,
IR,ALG-ALR-471_43,,693016619641,0,,,,,
IR,ALG-ARI-147_35,,693016619368,0,,,,,
IR,ALG-ARI-147_36,,693016619375,0,,,,,
IR,ALG-ARI-147_37,,693016619382,0,,,,,
IR,ALG-ARI-147_38,,693016619399,0,,,,,
IR,ALG-ARI-147_39,,693016619405,0,,,,,
IR,ALG-ARI-147_40,,693016619412,0,,,,,
IR,ALG-ARI-147_41,,693016619429,0,,,,,
